Species,Tail,Tarsus,Beak,Wing,Altitude,Min_Altitude,Max_Altitude,Sympatry,Patches,Colours,Frequency,Length,Note_Length,Latitude,Longitude,Frequency_min,Frequency_max,Dominant_frequency,Length_of_note,Length_of_syllable,Length_of_bout,Notes_per_Syllable,Syllables_per_Bout
Calorhamphus_fuliginosus_fuliginosus,3.846,3.001,3.141,4.388,5.298,0.000,6.397,5,2.000,1.667,20.469,3.121,0.260,113.68,-0.05,8.490,9.022,8.888,0.26,0,0.26,0,0
Calorhamphus_fuliginosus_hayi,NA,NA,NA,4.427,5.298,0.000,6.620,9,2.000,1.667,22.484,3.137,0.230,101.41,2.89,8.557,9.130,9.072,0.23,0,0.23,0,0
Megalaima_armillaris,4.101,3.246,3.197,4.533,7.170,6.399,7.601,5,6.333,4.000,-7.136,-11.900,0.030,110.75,-7.56,6.865,7.406,7.157,0.03,0.9,2.67,1,3
Megalaima_asiatica_asiatica,4.146,3.258,3.262,4.611,6.802,5.525,7.346,5,7.333,5.000,-10.153,0.367,0.025,87.01,27.06,6.323,7.375,7.109,0.025,0,0.35,0,0
Megalaima_asiatica_chersonesus,NA,NA,NA,4.565,7.003,6.399,7.496,4,6.667,3.667,NA,NA,NA,99.75,8.21,NA,NA,NA,NA,NA,NA,NA,NA
Megalaima_asiatica_davisoni,NA,NA,3.262,4.605,7.003,6.399,7.496,6,6.667,3.333,-9.700,0.449,0.030,101.55,21.19,6.537,7.354,7.033,0.03,0,0.2,0,0
Megalaima_australis_australis,3.786,2.922,2.890,4.301,6.908,0.000,7.601,5,7.667,4.000,NA,NA,NA,109.38,-7.35,NA,NA,NA,NA,NA,NA,NA,NA
Megalaima_australis_duvaucelli,NA,NA,NA,4.282,6.620,0.000,7.313,23,9.000,4.000,1.207,-2.520,0.030,109.31,1.28,7.126,7.938,7.827,0.03,0.08,0.21,1,2
Megalaima_chrysopogon,4.345,3.467,3.842,4.829,6.620,0.000,7.313,12,9.000,5.333,-17.961,0.149,0.100,109.39,2.09,5.919,6.933,6.553,0.1,0,0.49,0,0
Megalaima_corvina,4.489,3.446,3.696,4.824,7.313,6.686,7.601,4,2.000,2.000,-16.777,0.863,0.115,107.43,-6.98,5.964,7.012,6.637,0.115,0,0.47,0,0
